#time	SIM_5_5/
994.80	165.40
995.40	157.00
996.00	157.50
996.60	155.60
997.20	167.10
997.80	190.10
998.40	190.50
999.00	166.70
999.60	177.80
1000.20	178.30
1000.80	183.70
1001.40	185.60
1002.00	188.20
1002.60	193.40
1003.20	191.10
1003.80	210.40
1004.40	206.20
1005.00	202.20
1005.60	204.70
1006.20	197.50
1006.80	198.30
1007.40	196.80
1008.00	194.60
1008.60	185.70
1009.20	203.20
1009.80	184.50
1010.40	188.10
1011.00	202.70
1011.60	195.90
1012.20	190.60
1012.80	197.80
1013.40	188.30
1014.00	185.00
1014.60	180.90
1015.20	177.00
1015.80	168.90
1016.40	157.90
1017.00	170.00
1017.60	170.00
1018.20	163.40
1018.80	171.90
1019.40	184.70
1020.00	196.10
1020.60	200.80
1021.20	201.40
1021.80	213.90
1022.40	194.90
1023.00	191.90
1023.60	195.20
1024.20	190.80
1024.80	185.60
1025.40	188.90
1026.00	189.10
1026.60	196.10
1027.20	179.20
1027.80	183.30
1028.40	181.80
1029.00	197.80
1029.60	185.60
1030.20	186.10
1030.80	191.80
1031.40	195.30
1032.00	185.40
1032.60	190.70
1033.20	187.30
1033.80	173.30
1034.40	180.10
1035.00	191.80
1035.60	189.10
1036.20	197.80
1036.80	193.20
1037.40	188.80
1038.00	180.20
1038.60	162.40
